	HGNC_ID	Ensembl	Gene_symbol	Source	Source_Date	Download_Date
109	HGNC:13819	ENSG00000139155	SLCO1C1	HPA	20210914	20210914
110	HGNC:11865	ENSG00000125304	TM9SF2	HPA	20210914	20210914
111	HGNC:16513	ENSG00000165091	TMC1	HPA	20210914	20210914
112	HGNC:16527	ENSG00000149488	TMC2	HPA	20210914	20210914
113	HGNC:28128	ENSG00000179029	TMEM107	HPA	20210914	20210914
114	HGNC:17125	ENSG00000269556	TMEM185A	HPA	20210914	20210914
115	HGNC:11869	ENSG00000135048	TMEM2	HPA	20210914	20210914
116	HGNC:31723	ENSG00000134490	TMEM241	HPA	20210914	20210914
117	HGNC:25535	ENSG00000095209	TMEM38B	HPA	20210914	20210914
118	HGNC:30590	ENSG00000183726	TMEM50A	HPA	20210914	20210914
119	HGNC:25488	ENSG00000171729	TMEM51	HPA	20210914	20210914
120	HGNC:24059	ENSG00000153802	TMPRSS11D	HPA	20210914	20210914
121	HGNC:14323	ENSG00000070985	TRPM5	HPA	20210914	20210914
122	HGNC:14638	ENSG00000179869	ABCA13	HPA	20210914	20210914
123	HGNC:42	ENSG00000073734	ABCB11	HPA	20210914	20210914
124	HGNC:56	ENSG00000114770	ABCC5	HPA	20210914	20210914
125	HGNC:57	ENSG00000091262	ABCC6	HPA	20210914	20210914
126	HGNC:59	ENSG00000006071	ABCC8	HPA	20210914	20210914
127		ENSG00000250424	AC004691.2	HPA	20210914	20210914
128	HGNC:99	ENSG00000108684	ASIC2	HPA	20210914	20210914
129	HGNC:101	ENSG00000213199	ASIC3	HPA	20210914	20210914
130	HGNC:817	ENSG00000058668	ATP2B4	HPA	20210914	20210914
131	HGNC:863	ENSG00000113732	ATP6V0E1	HPA	20210914	20210914
132	HGNC:16832	ENSG00000128524	ATP6V1F	HPA	20210914	20210914
133	HGNC:864	ENSG00000136888	ATP6V1G1	HPA	20210914	20210914
134	HGNC:862	ENSG00000213760	ATP6V1G2	HPA	20210914	20210914
135	HGNC:869	ENSG00000165240	ATP7A	HPA	20210914	20210914
136	HGNC:1391	ENSG00000157388	CACNA1D	HPA	20210914	20210914
137	HGNC:1394	ENSG00000006283	CACNA1G	HPA	20210914	20210914
138	HGNC:18810	ENSG00000166762	CATSPER2	HPA	20210914	20210914
139	HGNC:1960	ENSG00000175344	CHRNA7	HPA	20210914	20210914
140	HGNC:1963	ENSG00000147432	CHRNB3	HPA	20210914	20210914
141	HGNC:2020	ENSG00000114859	CLCN2	HPA	20210914	20210914
142	HGNC:2026	ENSG00000186510	CLCNKA	HPA	20210914	20210914
143	HGNC:2087	ENSG00000104853	CLPTM1	HPA	20210914	20210914
144	HGNC:19178	ENSG00000153551	CMTM7	HPA	20210914	20210914
145	HGNC:2150	ENSG00000144191	CNGA3	HPA	20210914	20210914
146	HGNC:3133	ENSG00000147155	EBP	HPA	20210914	20210914
147	HGNC:4026	ENSG00000137731	FXYD2	HPA	20210914	20210914
148	HGNC:4274	ENSG00000152661	GJA1	HPA	20210914	20210914
149	HGNC:6218	ENSG00000111262	KCNA1	HPA	20210914	20210914
150	HGNC:6229	ENSG00000069424	KCNAB2	HPA	20210914	20210914
151	HGNC:6234	ENSG00000166006	KCNC2	HPA	20210914	20210914
152	HGNC:6240	ENSG00000180509	KCNE1	HPA	20210914	20210914
153	HGNC:6241	ENSG00000176076	KCNE5	HPA	20210914	20210914
154	HGNC:6294	ENSG00000053918	KCNQ1	HPA	20210914	20210914
155	HGNC:13356	ENSG00000090674	MCOLN1	HPA	20210914	20210914
156	HGNC:9011	ENSG00000107593	PKD2L1	HPA	20210914	20210914
157	HGNC:14107	ENSG00000124225	PMEPA1	HPA	20210914	20210914
158	HGNC:9841	ENSG00000017797	RALBP1	HPA	20210914	20210914
159	HGNC:10257	ENSG00000169071	ROR2	HPA	20210914	20210914
160	HGNC:10585	ENSG00000144285	SCN1A	HPA	20210914	20210914
161	HGNC:10588	ENSG00000136531	SCN2A	HPA	20210914	20210914
162	HGNC:10593	ENSG00000183873	SCN5A	HPA	20210914	20210914
163	HGNC:10707	ENSG00000141574	SECTM1	HPA	20210914	20210914
164	HGNC:25967	ENSG00000072858	SIDT1	HPA	20210914	20210914
165	HGNC:10907	ENSG00000018280	SLC11A1	HPA	20210914	20210914
166	HGNC:10911	ENSG00000064651	SLC12A2	HPA	20210914	20210914
167	HGNC:10921	ENSG00000163406	SLC15A2	HPA	20210914	20210914
168	HGNC:10922	ENSG00000155380	SLC16A1	HPA	20210914	20210914
169	HGNC:10924	ENSG00000141526	SLC16A3	HPA	20210914	20210914
170	HGNC:10929	ENSG00000124568	SLC17A1	HPA	20210914	20210914
171	HGNC:10934	ENSG00000036565	SLC18A1	HPA	20210914	20210914
172	HGNC:10936	ENSG00000187714	SLC18A3	HPA	20210914	20210914
173	HGNC:10937	ENSG00000173638	SLC19A1	HPA	20210914	20210914
174	HGNC:10938	ENSG00000117479	SLC19A2	HPA	20210914	20210914
175	HGNC:16266	ENSG00000135917	SLC19A3	HPA	20210914	20210914
176	HGNC:10943	ENSG00000105281	SLC1A5	HPA	20210914	20210914
177	HGNC:10944	ENSG00000105143	SLC1A6	HPA	20210914	20210914
178	HGNC:10945	ENSG00000162383	SLC1A7	HPA	20210914	20210914
179	HGNC:18120	ENSG00000168065	SLC22A11	HPA	20210914	20210914
180	HGNC:8495	ENSG00000144671	SLC22A14	HPA	20210914	20210914
181	HGNC:28542	ENSG00000197658	SLC22A24	HPA	20210914	20210914
182	HGNC:16261	ENSG00000149742	SLC22A9	HPA	20210914	20210914
183	HGNC:10973	ENSG00000089057	SLC23A2	HPA	20210914	20210914
184	HGNC:18301	ENSG00000173262	SLC2A14	HPA	20210914	20210914
185	HGNC:11009	ENSG00000181856	SLC2A4	HPA	20210914	20210914
186	HGNC:11010	ENSG00000142583	SLC2A5	HPA	20210914	20210914
187	HGNC:11013	ENSG00000158014	SLC30A2	HPA	20210914	20210914
188	HGNC:19089	ENSG00000145740	SLC30A5	HPA	20210914	20210914
189	HGNC:19305	ENSG00000152683	SLC30A6	HPA	20210914	20210914
190	HGNC:19306	ENSG00000162695	SLC30A7	HPA	20210914	20210914
191	HGNC:20303	ENSG00000164756	SLC30A8	HPA	20210914	20210914
192	HGNC:95	ENSG00000169359	SLC33A1	HPA	20210914	20210914
193	HGNC:19660	ENSG00000180773	SLC36A4	HPA	20210914	20210914
194	HGNC:12876	ENSG00000143570	SLC39A1	HPA	20210914	20210914
195	HGNC:20859	ENSG00000165915	SLC39A13	HPA	20210914	20210914
196	HGNC:18607	ENSG00000141424	SLC39A6	HPA	20210914	20210914
197	HGNC:20862	ENSG00000138821	SLC39A8	HPA	20210914	20210914
198	HGNC:11025	ENSG00000138079	SLC3A1	HPA	20210914	20210914
199	HGNC:13941	ENSG00000204385	SLC44A4	HPA	20210914	20210914
200	HGNC:11027	ENSG00000004939	SLC4A1	HPA	20210914	20210914
201	HGNC:28750	ENSG00000148942	SLC5A12	HPA	20210914	20210914
202	HGNC:27960	ENSG00000174358	SLC6A19	HPA	20210914	20210914
203	HGNC:20728	ENSG00000197818	SLC9A8	HPA	20210914	20210914
204	HGNC:24244	ENSG00000164037	SLC9B1	HPA	20210914	20210914
205	HGNC:10959	ENSG00000134538	SLCO1B1	HPA	20210914	20210914
206	HGNC:10961	ENSG00000111700	SLCO1B3	HPA	20210914	20210914
207	HGNC:17717	ENSG00000198648	STK39	HPA	20210914	20210914
208	HGNC:11857	ENSG00000142484	TM4SF5	HPA	20210914	20210914
209	HGNC:23410	ENSG00000135926	TMBIM1	HPA	20210914	20210914
210	HGNC:29116	ENSG00000172765	TMCC1	HPA	20210914	20210914
211	HGNC:29199	ENSG00000057704	TMCC3	HPA	20210914	20210914
212	HGNC:25984	ENSG00000109066	TMEM104	HPA	20210914	20210914
213	HGNC:28288	ENSG00000184988	TMEM106A	HPA	20210914	20210914
214	HGNC:28451	ENSG00000144868	TMEM108	HPA	20210914	20210914
215	HGNC:28771	ENSG00000110108	TMEM109	HPA	20210914	20210914
216	HGNC:33227	ENSG00000232258	TMEM114	HPA	20210914	20210914
