	HGNC_ID	Gene_symbol	Biological_process	Source	Source_Date	Download_Date
14732	HGNC:9407	PRKD1	Differentiation	HPA	20210914	20210914
14733	HGNC:9407	PRKD1	Immunity	HPA	20210914	20210914
14734	HGNC:9407	PRKD1	Inflammatory response	HPA	20210914	20210914
14735	HGNC:9407	PRKD1	Innate immunity	HPA	20210914	20210914
14736	HGNC:9407	PRKD1	Neurogenesis	HPA	20210914	20210914
14737	HGNC:17293	PRKD2	Adaptive immunity	HPA	20210914	20210914
14738	HGNC:17293	PRKD2	Angiogenesis	HPA	20210914	20210914
14739	HGNC:17293	PRKD2	Cell adhesion	HPA	20210914	20210914
14740	HGNC:17293	PRKD2	Immunity	HPA	20210914	20210914
14741	HGNC:9413	PRKDC	Biological rhythms	HPA	20210914	20210914
14742	HGNC:9413	PRKDC	DNA damage	HPA	20210914	20210914
14743	HGNC:9413	PRKDC	DNA recombination	HPA	20210914	20210914
14744	HGNC:9413	PRKDC	DNA repair	HPA	20210914	20210914
14745	HGNC:9413	PRKDC	Immunity	HPA	20210914	20210914
14746	HGNC:9413	PRKDC	Innate immunity	HPA	20210914	20210914
14747	HGNC:9413	PRKDC	Ribosome biogenesis	HPA	20210914	20210914
14748	HGNC:8607	PRKN	Autophagy	HPA	20210914	20210914
14749	HGNC:8607	PRKN	Transcription	HPA	20210914	20210914
14750	HGNC:8607	PRKN	Transcription regulation	HPA	20210914	20210914
14751	HGNC:8607	PRKN	Ubl conjugation pathway	HPA	20210914	20210914
14752	HGNC:9438	PRKRA	Host-virus interaction	HPA	20210914	20210914
14753	HGNC:9438	PRKRA	RNA-mediated gene silencing	HPA	20210914	20210914
14754	HGNC:21894	PRKRIP1	mRNA processing	HPA	20210914	20210914
14755	HGNC:21894	PRKRIP1	mRNA splicing	HPA	20210914	20210914
14756	HGNC:9441	PRKX	Angiogenesis	HPA	20210914	20210914
14757	HGNC:9441	PRKX	Differentiation	HPA	20210914	20210914
14758	HGNC:9445	PRL	Lactation	HPA	20210914	20210914
14759	HGNC:9447	PRM1	Differentiation	HPA	20210914	20210914
14760	HGNC:9447	PRM1	DNA condensation	HPA	20210914	20210914
14761	HGNC:9447	PRM1	Spermatogenesis	HPA	20210914	20210914
14762	HGNC:9448	PRM2	Differentiation	HPA	20210914	20210914
14763	HGNC:9448	PRM2	DNA condensation	HPA	20210914	20210914
14764	HGNC:9448	PRM2	Spermatogenesis	HPA	20210914	20210914
14765	HGNC:13732	PRM3	Differentiation	HPA	20210914	20210914
14766	HGNC:13732	PRM3	DNA condensation	HPA	20210914	20210914
14767	HGNC:13732	PRM3	Spermatogenesis	HPA	20210914	20210914
14768	HGNC:10894	PRMT5	Biological rhythms	HPA	20210914	20210914
14769	HGNC:10894	PRMT5	Transcription	HPA	20210914	20210914
