	HGNC_ID	Gene_symbol	Molecular_function	Source	Source_Date	Download_Date
1766	HGNC:16203	BPIFA2	Antimicrobial	HPA	20210914	20210914
1767	HGNC:1096	BPNT1	Hydrolase	HPA	20210914	20210914
1768	HGNC:3581	BPTF	Chromatin regulator	HPA	20210914	20210914
1769	HGNC:1097	BRAF	Allosteric enzyme	HPA	20210914	20210914
1770	HGNC:1097	BRAF	Kinase	HPA	20210914	20210914
1771	HGNC:1097	BRAF	Serine/threonine-protein kinase	HPA	20210914	20210914
1772	HGNC:1097	BRAF	Transferase	HPA	20210914	20210914
1773	HGNC:1099	BRAP	Transferase	HPA	20210914	20210914
1774	HGNC:1100	BRCA1	Activator	HPA	20210914	20210914
1775	HGNC:1100	BRCA1	DNA-binding	HPA	20210914	20210914
1776	HGNC:1100	BRCA1	Transferase	HPA	20210914	20210914
1777	HGNC:1101	BRCA2	DNA-binding	HPA	20210914	20210914
1778	HGNC:24185	BRCC3	Chromatin regulator	HPA	20210914	20210914
1779	HGNC:24185	BRCC3	Hydrolase	HPA	20210914	20210914
1780	HGNC:24185	BRCC3	Metalloprotease	HPA	20210914	20210914
1781	HGNC:24185	BRCC3	Protease	HPA	20210914	20210914
1782	HGNC:1102	BRD1	Chromatin regulator	HPA	20210914	20210914
1783	HGNC:1103	BRD2	Chromatin regulator	HPA	20210914	20210914
1784	HGNC:1104	BRD3	Chromatin regulator	HPA	20210914	20210914
1785	HGNC:13575	BRD4	Chromatin regulator	HPA	20210914	20210914
1786	HGNC:19874	BRD8	Chromatin regulator	HPA	20210914	20210914
1787	HGNC:25818	BRD9	Chromatin regulator	HPA	20210914	20210914
1788	HGNC:1105	BRDT	Activator	HPA	20210914	20210914
1789	HGNC:1105	BRDT	Chromatin regulator	HPA	20210914	20210914
1790	HGNC:11551	BRF1	Activator	HPA	20210914	20210914
1791	HGNC:17298	BRF2	Activator	HPA	20210914	20210914
1792	HGNC:20473	BRIP1	Helicase	HPA	20210914	20210914
1793	HGNC:20473	BRIP1	Hydrolase	HPA	20210914	20210914
1794	HGNC:17262	BRMS1	Repressor	HPA	20210914	20210914
1795	HGNC:20512	BRMS1L	Repressor	HPA	20210914	20210914
1796	HGNC:14255	BRPF1	Activator	HPA	20210914	20210914
1797	HGNC:14255	BRPF1	Chromatin regulator	HPA	20210914	20210914
1798	HGNC:14255	BRPF1	DNA-binding	HPA	20210914	20210914
1799	HGNC:14256	BRPF3	Chromatin regulator	HPA	20210914	20210914
1800	HGNC:1113	BRS3	G-protein coupled receptor	HPA	20210914	20210914
1801	HGNC:1113	BRS3	Receptor	HPA	20210914	20210914
1802	HGNC:1113	BRS3	Transducer	HPA	20210914	20210914
1803	HGNC:18994	BRSK1	Kinase	HPA	20210914	20210914
1804	HGNC:18994	BRSK1	Serine/threonine-protein kinase	HPA	20210914	20210914
1805	HGNC:18994	BRSK1	Transferase	HPA	20210914	20210914
1806	HGNC:11405	BRSK2	Kinase	HPA	20210914	20210914
1807	HGNC:11405	BRSK2	Serine/threonine-protein kinase	HPA	20210914	20210914
1808	HGNC:11405	BRSK2	Transferase	HPA	20210914	20210914
1809	HGNC:12760	BRWD1	Activator	HPA	20210914	20210914
1810	HGNC:1116	BSG	Blood group antigen	HPA	20210914	20210914
1811	HGNC:1118	BST1	Hydrolase	HPA	20210914	20210914
1812	HGNC:1118	BST1	Transferase	HPA	20210914	20210914
1813	HGNC:20450	BSX	Activator	HPA	20210914	20210914
1814	HGNC:20450	BSX	DNA-binding	HPA	20210914	20210914
1815	HGNC:17307	BTAF1	DNA-binding	HPA	20210914	20210914
1816	HGNC:17307	BTAF1	Helicase	HPA	20210914	20210914
1817	HGNC:17307	BTAF1	Hydrolase	HPA	20210914	20210914
1818	HGNC:18269	BTBD7	Developmental protein	HPA	20210914	20210914
1819	HGNC:1121	BTC	Growth factor	HPA	20210914	20210914
1820	HGNC:1121	BTC	Mitogen	HPA	20210914	20210914
1821	HGNC:1122	BTD	Hydrolase	HPA	20210914	20210914
1822	HGNC:1125	BTF3	Chaperone	HPA	20210914	20210914
1823	HGNC:1133	BTK	Kinase	HPA	20210914	20210914
1824	HGNC:1133	BTK	Transferase	HPA	20210914	20210914
1825	HGNC:1133	BTK	Tyrosine-protein kinase	HPA	20210914	20210914
1826	HGNC:21087	BTLA	Receptor	HPA	20210914	20210914
1827	HGNC:1144	BTRC	Ligase	HPA	20210914	20210914
1828	HGNC:1148	BUB1	Kinase	HPA	20210914	20210914
1829	HGNC:1148	BUB1	Serine/threonine-protein kinase	HPA	20210914	20210914
1830	HGNC:1148	BUB1	Transferase	HPA	20210914	20210914
1831	HGNC:1149	BUB1B	Kinase	HPA	20210914	20210914
1832	HGNC:1149	BUB1B	Serine/threonine-protein kinase	HPA	20210914	20210914
1833	HGNC:1149	BUB1B	Transferase	HPA	20210914	20210914
1834	HGNC:16405	BUD23	Chromatin regulator	HPA	20210914	20210914
1835	HGNC:16405	BUD23	Methyltransferase	HPA	20210914	20210914
1836	HGNC:16405	BUD23	Transferase	HPA	20210914	20210914
1837	HGNC:1152	BVES	Developmental protein	HPA	20210914	20210914
1838	HGNC:18380	BZW1	Activator	HPA	20210914	20210914
1839	HGNC:18808	BZW2	Developmental protein	HPA	20210914	20210914
1840	HGNC:25822	C10orf88	Hydrolase	HPA	20210914	20210914
1841	HGNC:26563	C10orf90	Transferase	HPA	20210914	20210914
1842	HGNC:31428	C10orf99	Antibiotic	HPA	20210914	20210914
1843	HGNC:31428	C10orf99	Antimicrobial	HPA	20210914	20210914
1844	HGNC:31428	C10orf99	Cytokine	HPA	20210914	20210914
1845	HGNC:30204	C11orf54	Hydrolase	HPA	20210914	20210914
1846	HGNC:17590	C12orf10	Hydrolase	HPA	20210914	20210914
1847	HGNC:17590	C12orf10	Nuclease	HPA	20210914	20210914
1848	HGNC:25719	C12orf43	Developmental protein	HPA	20210914	20210914
1849	HGNC:19849	C14orf39	Developmental protein	HPA	20210914	20210914
1850	HGNC:28737	C17orf49	Chromatin regulator	HPA	20210914	20210914
