HGNC_ID	Gene_symbol	Previous_symbol
HGNC:360	AIRE	APECED
HGNC:37284	AJM1	C9orf172
HGNC:20250	AJUBA	JUB
HGNC:17376	AK3	AK6
HGNC:17376	AK3	AK3L1
HGNC:363	AK4	AK3
HGNC:363	AK4	AK3L1
HGNC:364	AK4P1	AK3P1
HGNC:21596	AK4P3	AK3L2
HGNC:26526	AK8	C9orf98
HGNC:33814	AK9	C6orf224
HGNC:33814	AK9	AKD2
HGNC:33814	AK9	C6orf199
HGNC:33814	AK9	AKD1
HGNC:28285	AKAIN1	C18orf42
HGNC:367	AKAP1	PRKA1
HGNC:372	AKAP2	PRKA2
HGNC:371	AKAP13	LBC
HGNC:18783	AKAP17A	CXYorf3
HGNC:18783	AKAP17A	SFRS17A
HGNC:38514	AKAP17BP	AKAP16B
HGNC:38514	AKAP17BP	AKAP16BP
HGNC:1170	AKIP1	C11orf17
HGNC:25744	AKIRIN1	C1orf108
HGNC:21407	AKIRIN2	C6orf166
HGNC:28398	AKNAD1	C1orf62
HGNC:381	AKR1B1	ALDR1
HGNC:420	AKR1B1P1	ALDRL1
HGNC:425	AKR1B1P2	ALDRP
HGNC:422	AKR1B1P3	ALDRL3
HGNC:423	AKR1B1P4	ALDRL4
HGNC:20002	AKR1B1P5	AKR1B1P
HGNC:382	AKR1B10	AKR1B11
HGNC:384	AKR1C1	DDH1
HGNC:385	AKR1C2	DDH2
HGNC:385	AKR1C2	TDD
HGNC:386	AKR1C3	HSD17B5
HGNC:387	AKR1C4	CHDR
HGNC:23469	AKR1C8P	AKR1CL1
HGNC:388	AKR1D1	SRD5B1
HGNC:11288	AKR1D1P1	SRD5BP1
HGNC:11288	AKR1D1P1	AKR1D1P
HGNC:23437	AKR1E2	AKRDC1
HGNC:23437	AKR1E2	AKR1CL2
HGNC:16710	AKTIP	FTS
HGNC:396	ALAS1	ALAS3
HGNC:396	ALAS1	ALAS
HGNC:397	ALAS2	ASB
HGNC:402	ALDH1A1	PUMB1
HGNC:402	ALDH1A1	ALDH1
HGNC:409	ALDH1A3	ALDH6
HGNC:407	ALDH1B1	ALDH5
HGNC:3978	ALDH1L1	FTHFD
HGNC:405	ALDH3A1	ALDH3
HGNC:403	ALDH3A2	SLS
HGNC:403	ALDH3A2	ALDH10
HGNC:410	ALDH3B1	ALDH7
HGNC:411	ALDH3B2	ALDH8
HGNC:406	ALDH4A1	ALDH4
HGNC:7179	ALDH6A1	MMSDH
HGNC:877	ALDH7A1	ATQ1
HGNC:878	ALDH7A1P1	ATQL1
HGNC:879	ALDH7A1P2	ATQL2
HGNC:880	ALDH7A1P3	ATQL3
HGNC:881	ALDH7A1P4	ATQL4
HGNC:412	ALDH9A1	ALDH7
HGNC:412	ALDH9A1	ALDH4
HGNC:412	ALDH9A1	ALDH9
HGNC:9722	ALDH18A1	GSAS
HGNC:9722	ALDH18A1	PYCS
HGNC:9722	ALDH18A1	SPG9
HGNC:15672	ALG9	DIBD1
HGNC:30881	ALG13	GLT28D1
HGNC:30881	ALG13	CXorf45
HGNC:33775	ALKAL1	FAM150A
HGNC:27683	ALKAL2	FAM150B
HGNC:17911	ALKBH1	ALKBH
HGNC:25996	ALKBH5	OFOXD1
HGNC:21306	ALKBH7	SPATA11
HGNC:29586	ALMS1P1	ALMS1L
HGNC:29586	ALMS1P1	ALMS1P
HGNC:431	ALOX12P1	ALOX12P
HGNC:13742	ALOX15P1	ALOX15P
HGNC:441	ALPG	ALPPL2
HGNC:438	ALPL	HOPS
HGNC:443	ALS2	ALS2CR6
HGNC:1494	ALX1	CART1
HGNC:449	ALX3	FND
HGNC:450	ALX4	PFM2
HGNC:19071	ALYREF	THOC4
HGNC:453	AMBP	ITI
HGNC:453	AMBP	ITIL
HGNC:460	AMD1P2	AMD2
HGNC:460	AMD1P2	AMD
HGNC:460	AMD1P2	AMDP1
HGNC:461	AMELX	AMG
HGNC:461	AMELX	AIH1
HGNC:462	AMELY	AMGL
HGNC:26837	AMER1	FAM123B
